
Number of requests,Medium response time,Error percentage,Throughput
66000,609.77922ms,0,854.3012578652167
Type,Requests per second,Duration,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time
2.967439ms,true,-,May  8 14:14:07.282553184
4.024785ms,true,-,May  8 14:14:07.283834964
3.214586ms,true,-,May  8 14:14:07.283897553
4.527457ms,true,-,May  8 14:14:07.284123965
3.483319ms,true,-,May  8 14:14:07.284141168
5.169281ms,true,-,May  8 14:14:07.285591362
5.029121ms,true,-,May  8 14:14:07.285753883
3.137425ms,true,-,May  8 14:14:07.285924937
8.918816ms,true,-,May  8 14:14:07.288697750
8.779155ms,true,-,May  8 14:14:07.288705196
8.958855ms,true,-,May  8 14:14:07.288821721
4.944121ms,true,-,May  8 14:14:07.288846716
4.692071ms,true,-,May  8 14:14:07.289004883
9.191319ms,true,-,May  8 14:14:07.289620580
9.003037ms,true,-,May  8 14:14:07.289666567
10.099714ms,true,-,May  8 14:14:07.289970915
9.37535ms,true,-,May  8 14:14:07.290119034
10.65019ms,true,-,May  8 14:14:07.291058121
13.31181ms,true,-,May  8 14:14:07.293228656
12.513571ms,true,-,May  8 14:14:07.293246127
13.358848ms,true,-,May  8 14:14:07.293290265
50.951444ms,true,-,May  8 14:14:07.331612391
51.083933ms,true,-,May  8 14:14:07.331671340
51.059944ms,true,-,May  8 14:14:07.331775670
42.821779ms,true,-,May  8 14:14:07.331839231
41.933923ms,true,-,May  8 14:14:07.331910105
52.025946ms,true,-,May  8 14:14:07.331937922
52.129431ms,true,-,May  8 14:14:07.331996066
51.651553ms,true,-,May  8 14:14:07.332059290
51.538213ms,true,-,May  8 14:14:07.332068724
42.017155ms,true,-,May  8 14:14:07.332165255
51.842235ms,true,-,May  8 14:14:07.332174313
51.55455ms,true,-,May  8 14:14:07.332268383
52.436797ms,true,-,May  8 14:14:07.333085102
52.583915ms,true,-,May  8 14:14:07.333244626
53.377741ms,true,-,May  8 14:14:07.333264156
52.584516ms,true,-,May  8 14:14:07.333293658
44.494805ms,true,-,May  8 14:14:07.333322021
52.752711ms,true,-,May  8 14:14:07.333346424
47.604069ms,true,-,May  8 14:14:07.333361195
52.767547ms,true,-,May  8 14:14:07.333417172
53.628029ms,true,-,May  8 14:14:07.333564846
52.86383ms,true,-,May  8 14:14:07.333611173
53.683537ms,true,-,May  8 14:14:07.333630795
53.712715ms,true,-,May  8 14:14:07.333667348
53.856158ms,true,-,May  8 14:14:07.333762668
53.886314ms,true,-,May  8 14:14:07.333843586
53.705264ms,true,-,May  8 14:14:07.334386851
50.550696ms,true,-,May  8 14:14:07.334392095
54.126065ms,true,-,May  8 14:14:07.334425736
54.195412ms,true,-,May  8 14:14:07.334540568
53.821199ms,true,-,May  8 14:14:07.334583856
41.276447ms,true,-,May  8 14:14:07.334587429
53.963769ms,true,-,May  8 14:14:07.334613264
54.978027ms,true,-,May  8 14:14:07.335529502
50.109018ms,true,-,May  8 14:14:07.335706271
55.353479ms,true,-,May  8 14:14:07.335893908
47.222557ms,true,-,May  8 14:14:07.335990645
55.881481ms,true,-,May  8 14:14:07.336198573
56.401471ms,true,-,May  8 14:14:07.336223640
55.762105ms,true,-,May  8 14:14:07.336443707
55.777627ms,true,-,May  8 14:14:07.336549900
56.056878ms,true,-,May  8 14:14:07.336550569
55.871981ms,true,-,May  8 14:14:07.336550083
56.101569ms,true,-,May  8 14:14:07.336616696
55.929777ms,true,-,May  8 14:14:07.336699504
55.968716ms,true,-,May  8 14:14:07.336704843
55.976075ms,true,-,May  8 14:14:07.336713851
52.441672ms,true,-,May  8 14:14:07.336727656
56.289174ms,true,-,May  8 14:14:07.336842304
57.737877ms,true,-,May  8 14:14:07.337610934
57.31241ms,true,-,May  8 14:14:07.337670345
57.28354ms,true,-,May  8 14:14:07.337721480
57.85443ms,true,-,May  8 14:14:07.337747294
57.157531ms,true,-,May  8 14:14:07.337760480
57.08094ms,true,-,May  8 14:14:07.337777883
48.129308ms,true,-,May  8 14:14:07.337778653
57.349752ms,true,-,May  8 14:14:07.337859164
58.159343ms,true,-,May  8 14:14:07.337887579
58.013746ms,true,-,May  8 14:14:07.337894478
57.539885ms,true,-,May  8 14:14:07.337926811
52.527141ms,true,-,May  8 14:14:07.338457887
57.979078ms,true,-,May  8 14:14:07.338477631
48.900689ms,true,-,May  8 14:14:07.338572755
58.089575ms,true,-,May  8 14:14:07.338598466
57.867995ms,true,-,May  8 14:14:07.338651020
57.912742ms,true,-,May  8 14:14:07.338656689
58.797547ms,true,-,May  8 14:14:07.338729789
58.63743ms,true,-,May  8 14:14:07.338765955
59.001964ms,true,-,May  8 14:14:07.338823650
45.577383ms,true,-,May  8 14:14:07.338830933
58.35422ms,true,-,May  8 14:14:07.338835929
58.137775ms,true,-,May  8 14:14:07.338884999
58.984363ms,true,-,May  8 14:14:07.338885874
58.126732ms,true,-,May  8 14:14:07.338893589
58.448259ms,true,-,May  8 14:14:07.338902961
58.505105ms,true,-,May  8 14:14:07.339009336
59.985788ms,true,-,May  8 14:14:07.340537203
60.832729ms,true,-,May  8 14:14:07.340675907
9.176041ms,true,-,May  8 14:14:07.340796085
60.185527ms,true,-,May  8 14:14:07.340821665
52.150313ms,true,-,May  8 14:14:07.340865508
60.41844ms,true,-,May  8 14:14:07.340887048
9.285898ms,true,-,May  8 14:14:07.340965513
60.250138ms,true,-,May  8 14:14:07.341007737
60.642199ms,true,-,May  8 14:14:07.341015082
60.428141ms,true,-,May  8 14:14:07.341092833
60.386061ms,true,-,May  8 14:14:07.341108259
50.021732ms,true,-,May  8 14:14:07.341136350
61.190532ms,true,-,May  8 14:14:07.341160411
61.548626ms,true,-,May  8 14:14:07.341250448
60.62155ms,true,-,May  8 14:14:07.341317183
60.690473ms,true,-,May  8 14:14:07.341322430
48.086717ms,true,-,May  8 14:14:07.341328385
60.684975ms,true,-,May  8 14:14:07.341383851
61.006187ms,true,-,May  8 14:14:07.341459378
60.858695ms,true,-,May  8 14:14:07.341493191
62.211851ms,true,-,May  8 14:14:07.342690644
9.393901ms,true,-,May  8 14:14:07.342691954
61.971206ms,true,-,May  8 14:14:07.342734730
62.208223ms,true,-,May  8 14:14:07.342764581
9.178884ms,true,-,May  8 14:14:07.342793694
10.747601ms,true,-,May  8 14:14:07.342818756
10.670731ms,true,-,May  8 14:14:07.342852865
62.39736ms,true,-,May  8 14:14:07.342878445
10.625557ms,true,-,May  8 14:14:07.342899045
11.15668ms,true,-,May  8 14:14:07.342934887
10.98886ms,true,-,May  8 14:14:07.344836879
11.346065ms,true,-,May  8 14:14:07.344914690
11.220207ms,true,-,May  8 14:14:07.344986502
11.830659ms,true,-,May  8 14:14:07.345081028
11.78457ms,true,-,May  8 14:14:07.345152270
14.769441ms,true,-,May  8 14:14:07.346710219
14.839398ms,true,-,May  8 14:14:07.346843237
13.537793ms,true,-,May  8 14:14:07.346865943
13.50504ms,true,-,May  8 14:14:07.346928662
15.062141ms,true,-,May  8 14:14:07.346977588
13.906483ms,true,-,May  8 14:14:07.346996883
13.783696ms,true,-,May  8 14:14:07.347053254
12.651459ms,true,-,May  8 14:14:07.347082854
13.465393ms,true,-,May  8 14:14:07.347137182
12.821961ms,true,-,May  8 14:14:07.347213930
15.047064ms,true,-,May  8 14:14:07.347217097
13.86208ms,true,-,May  8 14:14:07.347220137
58.42532ms,true,-,May  8 14:14:07.347282717
11.783829ms,true,-,May  8 14:14:07.347319445
13.028241ms,true,-,May  8 14:14:07.347424506
11.500374ms,true,-,May  8 14:14:07.347499430
96.309238ms,true,-,May  8 14:14:07.433025964
98.485226ms,true,-,May  8 14:14:07.433076915
96.673593ms,true,-,May  8 14:14:07.433238007
98.655978ms,true,-,May  8 14:14:07.433244261
97.423572ms,true,-,May  8 14:14:07.433323537
152.79741ms,true,-,May  8 14:14:07.433327752
97.651186ms,true,-,May  8 14:14:07.433445098
96.790509ms,true,-,May  8 14:14:07.433493637
96.898386ms,true,-,May  8 14:14:07.433517200
96.983769ms,true,-,May  8 14:14:07.433546670
101.703716ms,true,-,May  8 14:14:07.433557863
95.963579ms,true,-,May  8 14:14:07.433641353
96.839255ms,true,-,May  8 14:14:07.433683731
96.997844ms,true,-,May  8 14:14:07.433727636
97.526497ms,true,-,May  8 14:14:07.433734579
95.98415ms,true,-,May  8 14:14:07.433737172
95.809145ms,true,-,May  8 14:14:07.433738723
97.544385ms,true,-,May  8 14:14:07.433772336
98.050855ms,true,-,May  8 14:14:07.434662380
96.812021ms,true,-,May  8 14:14:07.434713965
97.04475ms,true,-,May  8 14:14:07.434833115
97.189867ms,true,-,May  8 14:14:07.436027773
98.301939ms,true,-,May  8 14:14:07.436029613
97.475946ms,true,-,May  8 14:14:07.436079212
97.476379ms,true,-,May  8 14:14:07.436135593
98.577313ms,true,-,May  8 14:14:07.436194651
99.765595ms,true,-,May  8 14:14:07.436475023
101.877841ms,true,-,May  8 14:14:07.436494843
104.474644ms,true,-,May  8 14:14:07.436538974
98.080857ms,true,-,May  8 14:14:07.436543592
98.116884ms,true,-,May  8 14:14:07.436598721
96.197576ms,true,-,May  8 14:14:07.436739489
97.852325ms,true,-,May  8 14:14:07.436748261
99.007793ms,true,-,May  8 14:14:07.436796397
99.110353ms,true,-,May  8 14:14:07.436878099
96.205928ms,true,-,May  8 14:14:07.436884392
98.073065ms,true,-,May  8 14:14:07.436906081
95.904174ms,true,-,May  8 14:14:07.436999450
98.126062ms,true,-,May  8 14:14:07.437041888
98.313888ms,true,-,May  8 14:14:07.437143975
98.507611ms,true,-,May  8 14:14:07.437161577
99.351896ms,true,-,May  8 14:14:07.437243483
103.627197ms,true,-,May  8 14:14:07.437265629
98.395489ms,true,-,May  8 14:14:07.437284033
98.623899ms,true,-,May  8 14:14:07.437360263
99.73162ms,true,-,May  8 14:14:07.437594142
98.559966ms,true,-,May  8 14:14:07.439572257
98.12387ms,true,-,May  8 14:14:07.439619414
98.517672ms,true,-,May  8 14:14:07.439632886
100.663802ms,true,-,May  8 14:14:07.439675941
96.878263ms,true,-,May  8 14:14:07.439676567
96.761603ms,true,-,May  8 14:14:07.439746979
98.964792ms,true,-,May  8 14:14:07.439792712
100.954379ms,true,-,May  8 14:14:07.439844367
98.979646ms,true,-,May  8 14:14:07.439851838
97.048144ms,true,-,May  8 14:14:07.439909224
99.010018ms,true,-,May  8 14:14:07.439919981
98.897197ms,true,-,May  8 14:14:07.439922454
98.640851ms,true,-,May  8 14:14:07.439962369
94.996958ms,true,-,May  8 14:14:07.439989963
98.827656ms,true,-,May  8 14:14:07.439990950
98.714566ms,true,-,May  8 14:14:07.440046466
97.252799ms,true,-,May  8 14:14:07.440074579
99.318059ms,true,-,May  8 14:14:07.440116078
97.433465ms,true,-,May  8 14:14:07.440128754
99.210362ms,true,-,May  8 14:14:07.440464111
94.620876ms,true,-,May  8 14:14:07.441467056
98.741633ms,true,-,May  8 14:14:07.441480661
98.636644ms,true,-,May  8 14:14:07.441537731
96.714328ms,true,-,May  8 14:14:07.441555888
96.498094ms,true,-,May  8 14:14:07.441588243
100.561575ms,true,-,May  8 14:14:07.441702062
98.863372ms,true,-,May  8 14:14:07.441740866
96.860437ms,true,-,May  8 14:14:07.441780034
100.36045ms,true,-,May  8 14:14:07.441830499
107.363711ms,true,-,May  8 14:14:07.441906984
100.583824ms,true,-,May  8 14:14:07.441910042
100.945151ms,true,-,May  8 14:14:07.441914218
100.539969ms,true,-,May  8 14:14:07.441928600
94.889121ms,true,-,May  8 14:14:07.441944921
