Name,CPUPerc,MemUsage,NetIO,BlockIO,PIDs
grpc-server,0.01%,27.03MiB / 1GiB,10.5MB / 272MB,0B / 0B,21
grpc-server,18.96%,26.79MiB / 1GiB,10.5MB / 273MB,0B / 0B,21
grpc-server,18.15%,27.43MiB / 1GiB,10.5MB / 273MB,0B / 0B,21
grpc-server,20.08%,26.25MiB / 1GiB,10.5MB / 274MB,0B / 0B,21
grpc-server,23.98%,27.25MiB / 1GiB,10.5MB / 275MB,0B / 0B,21
grpc-server,22.54%,29.46MiB / 1GiB,10.5MB / 276MB,0B / 0B,21
grpc-server,40.67%,33.1MiB / 1GiB,10.6MB / 278MB,0B / 0B,21
grpc-server,49.98%,31.71MiB / 1GiB,10.6MB / 281MB,0B / 0B,21
grpc-server,46.07%,32.04MiB / 1GiB,10.7MB / 284MB,0B / 0B,21
grpc-server,40.00%,31.05MiB / 1GiB,10.7MB / 287MB,0B / 0B,21
grpc-server,47.48%,29.15MiB / 1GiB,10.8MB / 290MB,0B / 0B,21
grpc-server,57.32%,33.33MiB / 1GiB,10.8MB / 293MB,0B / 0B,21
grpc-server,74.05%,35.51MiB / 1GiB,10.9MB / 298MB,0B / 0B,21
grpc-server,66.68%,31.93MiB / 1GiB,11MB / 302MB,0B / 0B,21
grpc-server,57.42%,32.52MiB / 1GiB,11.1MB / 307MB,0B / 0B,21
grpc-server,73.44%,32.36MiB / 1GiB,11.2MB / 312MB,0B / 0B,21
grpc-server,63.85%,31.67MiB / 1GiB,11.2MB / 316MB,0B / 0B,21
grpc-server,93.92%,34.91MiB / 1GiB,11.3MB / 323MB,0B / 0B,21
grpc-server,98.59%,33.6MiB / 1GiB,11.5MB / 330MB,0B / 0B,21
grpc-server,93.38%,35.39MiB / 1GiB,11.6MB / 337MB,0B / 0B,21
grpc-server,96.18%,33.46MiB / 1GiB,11.7MB / 343MB,0B / 0B,21
grpc-server,86.72%,33.85MiB / 1GiB,11.8MB / 350MB,0B / 0B,21
grpc-server,98.59%,35.34MiB / 1GiB,11.9MB / 357MB,0B / 0B,21
grpc-server,100.02%,36.73MiB / 1GiB,12.1MB / 365MB,0B / 0B,21
grpc-server,98.93%,37.27MiB / 1GiB,12.2MB / 372MB,0B / 0B,21
grpc-server,95.27%,39.42MiB / 1GiB,12.3MB / 379MB,0B / 0B,21
grpc-server,98.95%,42.71MiB / 1GiB,12.5MB / 387MB,0B / 0B,21
grpc-server,97.85%,42.68MiB / 1GiB,12.6MB / 394MB,0B / 0B,21
grpc-server,94.38%,42.2MiB / 1GiB,12.7MB / 402MB,0B / 0B,21
grpc-server,95.32%,41.17MiB / 1GiB,12.8MB / 409MB,0B / 0B,21
grpc-server,98.75%,50.85MiB / 1GiB,12.9MB / 417MB,0B / 0B,21
grpc-server,92.05%,50.32MiB / 1GiB,13MB / 426MB,0B / 0B,21
grpc-server,97.82%,51.32MiB / 1GiB,13.1MB / 433MB,0B / 0B,21
grpc-server,86.75%,49.61MiB / 1GiB,13.2MB / 441MB,0B / 0B,21
grpc-server,12.33%,36.63MiB / 1GiB,13.2MB / 441MB,0B / 0B,21
grpc-server,4.91%,29.56MiB / 1GiB,13.2MB / 441MB,0B / 0B,21
grpc-server,0.03%,29.56MiB / 1GiB,13.2MB / 441MB,0B / 0B,21
grpc-server,0.22%,30.94MiB / 1GiB,13.2MB / 441MB,0B / 0B,21
