Name,CPUPerc,MemUsage,NetIO,BlockIO,PIDs
grpc-server,0.03%,16.05MiB / 1GiB,51.5kB / 9.96kB,0B / 0B,11
grpc-server,0.12%,16.44MiB / 1GiB,52.1kB / 10.4kB,0B / 0B,11
grpc-server,5.29%,16.07MiB / 1GiB,66.5kB / 23.9kB,0B / 0B,14
grpc-server,7.61%,18.93MiB / 1GiB,101kB / 88.5kB,0B / 0B,18
grpc-server,15.39%,20.14MiB / 1GiB,159kB / 138kB,0B / 0B,18
grpc-server,10.11%,19.6MiB / 1GiB,240kB / 205kB,0B / 0B,18
grpc-server,17.76%,21.35MiB / 1GiB,347kB / 332kB,0B / 0B,18
grpc-server,20.82%,19.41MiB / 1GiB,469kB / 437kB,0B / 0B,18
grpc-server,28.95%,21.37MiB / 1GiB,617kB / 600kB,0B / 0B,19
grpc-server,31.26%,20.05MiB / 1GiB,792kB / 750kB,0B / 0B,19
grpc-server,29.77%,19.08MiB / 1GiB,983kB / 912kB,0B / 0B,19
grpc-server,26.67%,22.64MiB / 1GiB,1.2MB / 1.13MB,0B / 0B,19
grpc-server,31.61%,20.12MiB / 1GiB,1.43MB / 1.33MB,0B / 0B,19
grpc-server,33.51%,23.8MiB / 1GiB,1.69MB / 1.6MB,0B / 0B,19
grpc-server,46.40%,20.66MiB / 1GiB,1.97MB / 1.84MB,0B / 0B,19
grpc-server,39.12%,20.5MiB / 1GiB,2.27MB / 2.1MB,0B / 0B,19
grpc-server,45.84%,22.19MiB / 1GiB,2.6MB / 2.42MB,0B / 0B,19
grpc-server,44.14%,22.12MiB / 1GiB,2.95MB / 2.72MB,0B / 0B,19
grpc-server,57.15%,25.14MiB / 1GiB,3.31MB / 3.08MB,0B / 0B,19
grpc-server,48.89%,22.97MiB / 1GiB,3.7MB / 3.41MB,0B / 0B,19
grpc-server,56.83%,22.13MiB / 1GiB,4.11MB / 3.76MB,0B / 0B,19
grpc-server,52.39%,23.38MiB / 1GiB,4.55MB / 4.18MB,0B / 0B,19
grpc-server,63.55%,23.48MiB / 1GiB,5.01MB / 4.57MB,0B / 0B,19
grpc-server,67.52%,26.69MiB / 1GiB,5.49MB / 5.03MB,0B / 0B,19
grpc-server,67.13%,22.7MiB / 1GiB,5.99MB / 5.46MB,0B / 0B,19
grpc-server,0.02%,21.17MiB / 1GiB,5.99MB / 5.46MB,0B / 0B,19
grpc-server,0.01%,21.7MiB / 1GiB,5.99MB / 5.5MB,0B / 0B,19
