Name,CPUPerc,MemUsage,NetIO,BlockIO,PIDs
api,0.02%,12.36MiB / 1GiB,50.2kB / 5.92kB,0B / 0B,12
api,0.02%,11.32MiB / 1GiB,50.2kB / 5.92kB,0B / 0B,12
api,8.48%,13.71MiB / 1GiB,170kB / 84.1kB,0B / 0B,19
api,12.12%,21.09MiB / 1GiB,468kB / 330kB,0B / 0B,20
api,21.74%,22.07MiB / 1GiB,963kB / 665kB,0B / 0B,20
api,25.60%,22.16MiB / 1GiB,1.64MB / 1.13MB,0B / 0B,21
api,32.57%,25.67MiB / 1GiB,2.52MB / 1.78MB,0B / 0B,21
api,31.17%,25.62MiB / 1GiB,3.56MB / 2.5MB,0B / 0B,21
api,39.28%,30.21MiB / 1GiB,4.8MB / 3.4MB,0B / 0B,21
api,44.94%,28.34MiB / 1GiB,6.23MB / 4.4MB,0B / 0B,21
api,51.96%,30.85MiB / 1GiB,7.84MB / 5.58MB,0B / 0B,23
api,57.36%,32.59MiB / 1GiB,9.62MB / 6.83MB,0B / 0B,23
api,65.46%,31.5MiB / 1GiB,11.6MB / 8.21MB,0B / 0B,23
api,63.56%,36.56MiB / 1GiB,13.7MB / 9.77MB,0B / 0B,25
api,75.88%,32.64MiB / 1GiB,16.1MB / 11.4MB,0B / 0B,25
api,79.58%,33.43MiB / 1GiB,18.5MB / 13.1MB,0B / 0B,25
api,79.07%,35.73MiB / 1GiB,21.2MB / 15.1MB,0B / 0B,25
api,86.60%,35.29MiB / 1GiB,24MB / 17MB,0B / 0B,25
api,90.94%,36.59MiB / 1GiB,27.1MB / 19.2MB,0B / 0B,25
api,99.18%,33.85MiB / 1GiB,30.2MB / 21.4MB,0B / 0B,25
api,101.61%,37.27MiB / 1GiB,33.5MB / 23.8MB,0B / 0B,25
api,99.71%,38.04MiB / 1GiB,36.8MB / 26.1MB,0B / 0B,25
api,97.06%,37.82MiB / 1GiB,40.2MB / 28.6MB,0B / 0B,26
api,97.81%,43.02MiB / 1GiB,43.9MB / 31.3MB,0B / 0B,26
api,94.98%,43.49MiB / 1GiB,47.7MB / 34.1MB,0B / 0B,26
api,29.91%,37.81MiB / 1GiB,49.7MB / 35.5MB,0B / 0B,26
api,0.02%,39.08MiB / 1GiB,49.7MB / 35.6MB,0B / 0B,26
api,0.02%,39.05MiB / 1GiB,49.7MB / 35.6MB,0B / 0B,26
